Run,Patients_Seen,Mean_Q_Time_Consult_One,Mean_Q_Time_Consult_Two,Mean_Duration_Consult_One,Mean_Duration_Consult_Two,Mean_Duration_Diagnostics,Mean_Duration_Discharge,Mean_Time_UTC,Mean_Less4h
64,163,52.506242889134796,54.191224979064984,33.51275605909555,21.925719413024876,46.48165081901559,16.54648709253318,115.35184259652299,0.950920245398773
65,131,23.464269853560573,24.49414350211752,34.16771283765032,15.876365490893887,48.64678032474636,13.746943188691557,80.89222397493,0.9770992366412213
66,146,17.66552413981706,23.09311760774735,35.02633150851095,23.28135730596147,55.78367267036694,15.876703242031288,77.66483230537973,0.9931506849315068
67,149,23.184633535064393,25.294557953245768,35.31919378643487,13.8069120220106,46.11339072072525,14.833471131682229,82.48788752120636,0.9865771812080537
68,156,50.739836873371246,60.313056523013785,33.388748487676935,15.291031604781052,44.219259064796134,16.34128261006228,112.75944204214541,0.9358974358974359
69,143,21.646162494220835,14.141744877783925,37.243327783263624,20.39927786154841,30.782333152839843,14.046129990385134,79.78772053627927,0.986013986013986
70,144,70.99180257656533,66.08438981805976,38.958374745305655,17.754597007097555,51.45310428670833,15.26869173173355,142.13038044258772,0.8472222222222222
71,151,74.63118062722465,65.58408696567163,37.88303223741555,13.342177882997836,55.1189330837458,12.777597282490072,140.3829913713095,0.9271523178807947
72,155,20.150373936039102,22.010634591673163,34.8374980154328,17.865535442725175,28.38433689889102,16.53643582076315,78.57055364921975,0.9806451612903225
73,143,14.848192590918888,7.084497380211613,31.76643926794715,25.193458005334406,34.466985719999755,17.409389232726248,73.35897788957071,1.0
74,175,33.24054354129224,31.315524413285956,31.98015928928599,14.123410144991759,48.75953738762041,15.941969149496565,90.3133806833906,0.9828571428571429
75,141,15.101451857602163,8.454829146988423,35.30151612814957,11.245229647353094,24.210028441860846,13.668415403560262,67.49699303185261,1.0
76,154,29.693379234345343,24.69213048518207,34.501437603900754,24.47154879161029,45.70793773461534,14.783236285331155,90.06694342361192,0.987012987012987
77,148,19.068639188830353,17.21361267306734,33.783879186602256,15.051394338378092,59.71461660403276,14.763273850151748,78.80250320584521,0.9932432432432432
78,163,58.17218834869283,70.9523474595646,31.141037913939314,21.896895344076505,42.631321537907375,14.161613408532915,117.60471447979279,0.9447852760736196
79,163,13.414203670901731,14.998590014520387,32.24384037690926,14.059488610318672,43.4437230486023,15.27756845612096,66.27316845535094,0.9938650306748467
